,시군구명,읍면동명,과거대비인구변화...,최근인구변화.연속감소년수.,과거대비사업체변화...,최근사업체변화.연속감소년수.,노후건축물비율...,부합부문.개수.,X2개.부문.이상.부합여부
297,서울특별시 영등포구,대림제1동,-45.25,5,-12.36,1,82.45,3,1
298,서울특별시 영등포구,대림제2동,-56.5,5,-4.18,1,82.61,2,1
299,서울특별시 영등포구,대림제3동,-28.14,5,-0.56,1,83.24,2,1
300,서울특별시 영등포구,영등포본동,-4.87,5,-17.18,1,76.42,3,1
301,서울특별시 영등포구,영등포동,16.65,1,-2.01,1,79.3,1,0
302,서울특별시 영등포구,도림동,8.73,2,-2.76,1,80.18,1,0
303,서울특별시 영등포구,문래동,-3.74,5,3.01,0,81.67,2,1
304,서울특별시 동작구,노량진제2동,-41.46,5,-22.61,5,92.5,3,1
305,서울특별시 동작구,상도제1동,17.62,1,-0.13,1,52.59,1,0
306,서울특별시 동작구,상도제2동,-20.7,4,-3.29,2,71.56,2,1
307,서울특별시 동작구,상도제3동,3.19,1,-8.83,2,64.26,2,1
308,서울특별시 동작구,상도제4동,-13.62,2,-8.38,2,71.9,2,1
309,서울특별시 동작구,사당제1동,-14.14,2,0.46,2,67.46,1,0
310,서울특별시 동작구,사당제3동,-32.02,3,-5.17,1,74.18,3,1
311,서울특별시 동작구,사당제4동,-58.91,3,-13.24,2,70.61,3,1
312,서울특별시 동작구,사당제5동,-18.61,5,-12.28,1,76.38,3,1
313,서울특별시 동작구,대방동,-0.94,3,-2.45,1,64.27,2,1
314,서울특별시 동작구,신대방제1동,-8.29,4,3.13,0,74.93,2,1
315,서울특별시 동작구,신대방제2동,-4.73,1,0.09,0,67.64,1,0
316,서울특별시 동작구,흑석동,16.01,3,-5.28,1,85.21,3,1
317,서울특별시 동작구,노량진제1동,-6.41,4,-4.6,2,70.99,2,1
318,서울특별시 동작구,사당제2동,0.02,3,0.21,1,75.62,2,1
319,서울특별시 관악구,보라매동,-10.42,5,8.12,1,72.22,2,1
320,서울특별시 관악구,청림동,-31.03,2,-4.66,2,82.76,2,1
321,서울특별시 관악구,행운동,-12.81,2,-0.46,1,62.15,1,0
322,서울특별시 관악구,낙성대동,-0.84,5,-0.66,1,55.82,2,1
323,서울특별시 관악구,중앙동,-22.31,3,-9.93,1,71.98,3,1
324,서울특별시 관악구,인헌동,-3.88,5,-2.17,1,59.92,2,1
